"curve","x","density"
"Bulk spectrum",-0.236644357314897,0.000323867517012528
"Bulk spectrum",-0.222738084781293,0.000471592862973952
"Bulk spectrum",-0.20883181224769,0.000677315045040503
"Bulk spectrum",-0.194925539714086,0.000959828560534263
"Bulk spectrum",-0.181019267180482,0.00134259908444792
"Bulk spectrum",-0.167112994646878,0.00187765574597771
"Bulk spectrum",-0.153206722113274,0.00260023173410193
"Bulk spectrum",-0.13930044957967,0.0035537988440565
"Bulk spectrum",-0.125394177046066,0.00479513055403765
"Bulk spectrum",-0.111487904512462,0.00638976885623933
"Bulk spectrum",-0.0975816319788585,0.00841209525498057
"Bulk spectrum",-0.0836753594452546,0.0109451033395705
"Bulk spectrum",-0.0697690869116508,0.0140798312280945
"Bulk spectrum",-0.0558628143780469,0.0180070103043405
"Bulk spectrum",-0.041956541844443,0.0228172107523362
"Bulk spectrum",-0.0280502693108391,0.0285781075654083
"Bulk spectrum",-0.0141439967772352,0.0353920310296328
"Bulk spectrum",-0.00023772424363136,0.0433541521124802
"Bulk spectrum",0.0136685482899725,0.0525484859270316
"Bulk spectrum",0.0275748208235764,0.0630437674181208
"Bulk spectrum",0.0414810933571803,0.0748893028058443
"Bulk spectrum",0.0553873658907841,0.0882373976483246
"Bulk spectrum",0.069293638424388,0.103039659272048
"Bulk spectrum",0.0831999109579919,0.119142467897113
"Bulk spectrum",0.0971061834915958,0.136455827532729
"Bulk spectrum",0.1110124560252,0.154856775043311
"Bulk spectrum",0.124918728558804,0.174190995356813
"Bulk spectrum",0.138825001092407,0.19427550287513
"Bulk spectrum",0.152731273626011,0.214902352601294
"Bulk spectrum",0.166637546159615,0.235843368819406
"Bulk spectrum",0.180543818693219,0.256784830624393
"Bulk spectrum",0.194450091226823,0.277453273533204
"Bulk spectrum",0.208356363760427,0.297608152011574
"Bulk spectrum",0.222262636294031,0.317022485420201
"Bulk spectrum",0.236168908827635,0.335488570567931
"Bulk spectrum",0.250075181361238,0.352822948267338
"Bulk spectrum",0.263981453894842,0.368870513887697
"Bulk spectrum",0.277887726428446,0.383419350227747
"Bulk spectrum",0.29179399896205,0.396298710134063
"Bulk spectrum",0.305700271495654,0.407625391661068
"Bulk spectrum",0.319606544029258,0.417398106382628
"Bulk spectrum",0.333512816562862,0.425643700499225
"Bulk spectrum",0.347419089096466,0.432413775245125
"Bulk spectrum",0.361325361630069,0.43778094477003
"Bulk spectrum",0.375231634163673,0.441834851122383
"Bulk spectrum",0.389137906697277,0.444633997638688
"Bulk spectrum",0.403044179230881,0.446230796589567
"Bulk spectrum",0.416950451764485,0.446889070786038
"Bulk spectrum",0.430856724298089,0.446722799324979
"Bulk spectrum",0.444762996831693,0.4458416846766
"Bulk spectrum",0.458669269365297,0.44434936760986
"Bulk spectrum",0.4725755418989,0.442342067533676
"Bulk spectrum",0.486481814432504,0.439907626215864
"Bulk spectrum",0.500388086966108,0.437118599857578
"Bulk spectrum",0.514294359499712,0.434026453512512
"Bulk spectrum",0.528200632033316,0.430734221673155
"Bulk spectrum",0.54210690456692,0.427288512969007
"Bulk spectrum",0.556013177100524,0.423728685462056
"Bulk spectrum",0.569919449634128,0.420087573234541
"Bulk spectrum",0.583825722167732,0.41639222345356
"Bulk spectrum",0.597731994701335,0.412664626993427
"Bulk spectrum",0.611638267234939,0.408922435164957
"Bulk spectrum",0.625544539768543,0.405181825449233
"Bulk spectrum",0.639450812302147,0.401454294870657
"Bulk spectrum",0.653357084835751,0.397747097262767
"Bulk spectrum",0.667263357369355,0.394065894238218
"Bulk spectrum",0.681169629902959,0.390415074770371
"Bulk spectrum",0.695075902436563,0.386798028249236
"Bulk spectrum",0.708982174970166,0.383217374337122
"Bulk spectrum",0.72288844750377,0.379675152953026
"Bulk spectrum",0.736794720037374,0.376179360128456
"Bulk spectrum",0.750700992570978,0.372725754342806
"Bulk spectrum",0.764607265104582,0.369314898374709
"Bulk spectrum",0.778513537638186,0.365947665630346
"Bulk spectrum",0.79241981017179,0.362624821182985
"Bulk spectrum",0.806326082705394,0.35934703068612
"Bulk spectrum",0.820232355238997,0.356114862396471
"Bulk spectrum",0.834138627772601,0.352928784494614
"Bulk spectrum",0.848044900306205,0.349795497174218
"Bulk spectrum",0.861951172839809,0.346710262358489
"Bulk spectrum",0.875857445373413,0.343671847177319
"Bulk spectrum",0.889763717907017,0.340680243378046
"Bulk spectrum",0.903669990440621,0.337735375517953
"Bulk spectrum",0.917576262974225,0.334837121433773
"Bulk spectrum",0.931482535507828,0.33198533337349
"Bulk spectrum",0.945388808041432,0.329179858270754
"Bulk spectrum",0.959295080575036,0.326425998591449
"Bulk spectrum",0.97320135310864,0.323720258271799
"Bulk spectrum",0.987107625642244,0.321060442908595
"Bulk spectrum",1.00101389817585,0.318446443250385
"Bulk spectrum",1.01492017070945,0.31587810188721
"Bulk spectrum",1.02882644324306,0.313355175765074
"Bulk spectrum",1.04273271577666,0.310877296106103
"Bulk spectrum",1.05663898831026,0.308443927925593
"Bulk spectrum",1.07054526084387,0.306058606634163
"Bulk spectrum",1.08445153337747,0.303718300705516
"Bulk spectrum",1.09835780591108,0.301418852772316
"Bulk spectrum",1.11226407844468,0.299158612480341
"Bulk spectrum",1.12617035097828,0.296935728131262
"Bulk spectrum",1.14007662351189,0.294748192094645
"Bulk spectrum",1.15398289604549,0.292593895219139
"Bulk spectrum",1.16788916857909,0.290470688038203
"Bulk spectrum",1.1817954411127,0.288378655188952
"Bulk spectrum",1.1957017136463,0.286315160263958
"Bulk spectrum",1.20960798617991,0.284276182818226
"Bulk spectrum",1.22351425871351,0.282260243122964
"Bulk spectrum",1.23742053124711,0.280266106617272
"Bulk spectrum",1.25132680378072,0.278292780968011
"Bulk spectrum",1.26523307631432,0.276339500667266
"Bulk spectrum",1.27913934884793,0.274405700582214
"Bulk spectrum",1.29304562138153,0.272492222397817
"Bulk spectrum",1.30695189391513,0.270599316586357
"Bulk spectrum",1.32085816644874,0.268724930020684
"Bulk spectrum",1.33476443898234,0.26686886719961
"Bulk spectrum",1.34867071151594,0.265030915001796
"Bulk spectrum",1.36257698404955,0.263210836686491
"Bulk spectrum",1.37648325658315,0.261408376107413
"Bulk spectrum",1.39038952911676,0.259623271307343
"Bulk spectrum",1.40429580165036,0.257856103470703
"Bulk spectrum",1.41820207418396,0.256107771249499
