"scenario","score_distribution","n","p","spike_index","replications","true_r2","mean_empirical_squared_overlap","mean_proposed_r2","mean_difference","source_run_id"
"F3_Haar","Uniform",150,50,2,2000,0.594827532663867,0.493603510205701,0.608153185279126,0.114549675073426,"experiment_2b_functional_asymptotics_n-values150-300-600_replications150x2000-300x1500-600x1000_p-rulep-nearest-multiple-10-to-n-3_N200_decay1p1_M3_K03_spike-indices2_design-gridF3-Haar-Unif_cfg004232d3"
"F3_Haar","Uniform",300,100,2,1500,0.628872284511141,0.580655686356389,0.632315382866677,0.0516596965102881,"experiment_2b_functional_asymptotics_n-values150-300-600_replications150x2000-300x1500-600x1000_p-rulep-nearest-multiple-10-to-n-3_N200_decay1p1_M3_K03_spike-indices2_design-gridF3-Haar-Unif_cfg004232d3"
"F3_Haar","Uniform",600,200,2,1000,0.646585720413371,0.621538076153977,0.646896467585759,0.0253583914317821,"experiment_2b_functional_asymptotics_n-values150-300-600_replications150x2000-300x1500-600x1000_p-rulep-nearest-multiple-10-to-n-3_N200_decay1p1_M3_K03_spike-indices2_design-gridF3-Haar-Unif_cfg004232d3"
