"curve","x","density"
"Bulk spectrum",-0.254596209094718,0.00213545793374965
"Bulk spectrum",-0.204049263960894,0.00928932466098933
"Bulk spectrum",-0.153502318827069,0.0322665432999717
"Bulk spectrum",-0.102955373693244,0.0902163586383694
"Bulk spectrum",-0.0524084285594193,0.205093730655518
"Bulk spectrum",-0.0018614834255945,0.383804701349046
"Bulk spectrum",0.0486854617082303,0.600140579965243
"Bulk spectrum",0.0992324068420551,0.798553375005148
"Bulk spectrum",0.14977935197588,0.924817307440494
"Bulk spectrum",0.200326297109705,0.958277224032629
"Bulk spectrum",0.250873242243529,0.91701664862178
"Bulk spectrum",0.301420187377354,0.836771824356205
"Bulk spectrum",0.351967132511179,0.747687761255668
"Bulk spectrum",0.402514077645004,0.66557302570604
"Bulk spectrum",0.453061022778829,0.59517542157539
"Bulk spectrum",0.503607967912653,0.536111358447664
"Bulk spectrum",0.554154913046478,0.486576427321976
"Bulk spectrum",0.604701858180303,0.444751484164459
"Bulk spectrum",0.655248803314128,0.409095494059913
"Bulk spectrum",0.705795748447953,0.378337478221548
"Bulk spectrum",0.756342693581777,0.351483205416394
"Bulk spectrum",0.806889638715602,0.327848825845413
"Bulk spectrum",0.857436583849427,0.307026815919978
"Bulk spectrum",0.907983528983252,0.288772231525603
"Bulk spectrum",0.958530474117077,0.272685430740193
"Bulk spectrum",1.0090774192509,0.258271219557576
"Bulk spectrum",1.05962436438473,0.245174028622216
"Bulk spectrum",1.11017130951855,0.233273825572594
"Bulk spectrum",1.16071825465238,0.222553495030762
"Bulk spectrum",1.2112651997862,0.212890891409498
"Bulk spectrum",1.26181214492003,0.204035520134596
"Bulk spectrum",1.31235909005385,0.195754062962849
"Bulk spectrum",1.36290603518767,0.187946958158768
"Bulk spectrum",1.4134529803215,0.180624851106211
"Bulk spectrum",1.46399992545532,0.173802670211812
"Bulk spectrum",1.51454687058915,0.167433999061635
"Bulk spectrum",1.56509381572297,0.161438682586265
"Bulk spectrum",1.6156407608568,0.1557659776061
"Bulk spectrum",1.66618770599062,0.150408948832638
"Bulk spectrum",1.71673465112445,0.145369931900401
"Bulk spectrum",1.76728159625827,0.140646078969755
"Bulk spectrum",1.8178285413921,0.136248970125319
"Bulk spectrum",1.86837548652592,0.132190138220145
"Bulk spectrum",1.91892243165975,0.128413249439127
"Bulk spectrum",1.96946937679357,0.124769009610558
"Bulk spectrum",2.0200163219274,0.121106651282486
"Bulk spectrum",2.07056326706122,0.11739842887751
"Bulk spectrum",2.12111021219505,0.113749887466124
"Bulk spectrum",2.17165715732887,0.110281391291484
"Bulk spectrum",2.2222041024627,0.10701916157855
"Bulk spectrum",2.27275104759652,0.103910582262653
"Bulk spectrum",2.32329799273035,0.100914773140254
"Bulk spectrum",2.37384493786417,0.0980315863168691
"Bulk spectrum",2.424391882998,0.0952440873306268
"Bulk spectrum",2.47493882813182,0.0924873869240609
"Bulk spectrum",2.52548577326565,0.0897009569233301
"Bulk spectrum",2.57603271839947,0.0868914090523348
"Bulk spectrum",2.62657966353329,0.0841387273660491
"Bulk spectrum",2.67712660866712,0.0815365508353222
"Bulk spectrum",2.72767355380094,0.0791348316021875
"Bulk spectrum",2.77822049893477,0.0769121084327839
"Bulk spectrum",2.82876744406859,0.074794931348851
"Bulk spectrum",2.87931438920242,0.0727231302351998
"Bulk spectrum",2.92986133433624,0.0706984291484172
"Bulk spectrum",2.98040827947007,0.0687324557533102
"Bulk spectrum",3.03095522460389,0.0667482027087861
"Bulk spectrum",3.08150216973772,0.0646073935688533
"Bulk spectrum",3.13204911487154,0.0622670066728098
"Bulk spectrum",3.18259606000537,0.0598466872435273
"Bulk spectrum",3.23314300513919,0.0575078289932718
"Bulk spectrum",3.28368995027302,0.0553151938940507
"Bulk spectrum",3.33423689540684,0.0532454792152448
"Bulk spectrum",3.38478384054067,0.0512824314244417
"Bulk spectrum",3.43533078567449,0.0494509832890479
"Bulk spectrum",3.48587773080832,0.0477662166721893
"Bulk spectrum",3.53642467594214,0.0461873531738216
"Bulk spectrum",3.58697162107597,0.0446376017928224
"Bulk spectrum",3.63751856620979,0.043058682834887
