"n","delta","method","value"
150,0,"Proposed",0.985
150,0.5,"Proposed",0.978
150,1,"Proposed",0.981
150,2,"Proposed",0.969
150,3,"Proposed",0.965
300,0,"Proposed",0.982666666666667
300,0.5,"Proposed",0.97
300,1,"Proposed",0.977333333333333
300,2,"Proposed",0.97
300,3,"Proposed",0.974
600,0,"Proposed",0.978
600,0.5,"Proposed",0.979
600,1,"Proposed",0.972
600,2,"Proposed",0.97
600,3,"Proposed",0.967
