"n","theoretical","observed"
150,0.00050006251041862,8.34095347191216e-05
150,0.0015005627814083,0.000504840518254649
150,0.00250156380330526,0.0009254699928768
150,0.00350306607761269,0.00100679224735652
150,0.00450507010658756,0.00161239841770636
150,0.00550757639324209,0.00282767716106387
150,0.0065105854413453,0.00449417464005727
150,0.00751409775542451,0.00451147670425956
150,0.00851811384076689,0.00554925086978612
150,0.00952263420342094,0.0081890974059391
150,0.0105276593501981,0.00903503286164471
150,0.0115331897886741,0.00930718213588504
150,0.0125392260271908,0.00935348587569183
150,0.0135457685748575,0.0103157263336501
150,0.0145528179415524,0.0104929722405417
150,0.0155603746379246,0.0117526439501189
150,0.0165684391753951,0.0123417737016714
150,0.0175770120661586,0.0123710388325676
150,0.0185860938231853,0.0130333045038076
150,0.019595684960222,0.01376209719085
150,0.0206057859917941,0.0150940398140502
150,0.0216163974332068,0.0151798082190358
150,0.0226275198005468,0.0154902910474851
150,0.0236391536106843,0.0156564554918084
150,0.0246512993812739,0.0157372475455287
150,0.0256639576307565,0.0158493473670539
150,0.0266771288783611,0.0162881147223122
150,0.0276908136441061,0.0169389112586248
150,0.028705012448801,0.0179400385439132
150,0.029719725814048,0.0190024142904387
150,0.0307349542622436,0.0201381620141484
150,0.0317506983165803,0.0212005206205037
150,0.0327669585010481,0.0218678627712207
150,0.0337837353404363,0.0233372272713502
150,0.0348010293603347,0.0237582291115856
150,0.0358188410871358,0.0241592470364617
150,0.0368371710480361,0.0242817787394698
150,0.0378560197710377,0.0244834269736021
150,0.0388753877849502,0.0246712457342957
150,0.0398952756193921,0.0265048732292848
150,0.0409156838047924,0.026634188366866
150,0.0419366128723927,0.0273310766765009
150,0.0429580633542484,0.0291297119321107
150,0.0439800357832304,0.0298528793537971
150,0.0450025306930271,0.0310664495314952
150,0.0460255486181457,0.0320257881383561
150,0.0470490900939142,0.0328111036464313
150,0.0480731556564827,0.0348819927903389
150,0.0490977458428254,0.0354574730481408
150,0.0501228611907423,0.0363296995291588
150,0.0511485022388607,0.0368888176389129
150,0.0521746695266369,0.0376682718699189
150,0.0532013635943581,0.0379857663872137
150,0.0542285849831439,0.0383340977982672
150,0.0552563342349482,0.0390533626506313
150,0.0562846118925608,0.0407666716605768
150,0.057313418499609,0.041231507018128
150,0.0583427546005597,0.041764645026148
150,0.0593726207407207,0.043104413657981
150,0.0604030174662427,0.0446749982876107
150,0.061433945324121,0.0448612942439155
150,0.0624654048621971,0.0449186792916997
150,0.0634973966291606,0.0457059047379017
150,0.064529921174551,0.047337201350947
150,0.0655629790487591,0.0477154483381454
150,0.0665965708030294,0.0500016864406723
150,0.0676306969894612,0.0516700602437093
150,0.0686653581610107,0.0529245584983632
150,0.0697005548714927,0.0532277620570347
150,0.0707362876755826,0.0538494570124919
150,0.0717725571288178,0.0545661766371875
150,0.0728093637875998,0.0551087299267408
150,0.0738467082091956,0.0556759613917779
150,0.0748845909517402,0.0560648176599197
150,0.0759230125742376,0.0585140442033834
150,0.0769619736365631,0.058886414669421
150,0.0780014746994651,0.059384908033499
150,0.0790415163245666,0.0600659798496028
150,0.0800820990743675,0.0606436160925321
150,0.0811232235122457,0.0624810865302838
150,0.0821648902024599,0.0634802001236666
150,0.0832070997101506,0.0648287084626889
150,0.0842498526013422,0.0653568891436693
150,0.0852931494429452,0.0654983703020715
150,0.0863369908027574,0.0674945382584635
150,0.0873813772494663,0.068433872007256
150,0.0884263093526508,0.0706252036823375
150,0.0894717876827829,0.0717951997373522
150,0.0905178128112298,0.0732452931941084
150,0.0915643853102554,0.0732630102872851
150,0.0926115057530229,0.0744544741330731
150,0.0936591747135959,0.076048229045875
150,0.0947073927669406,0.0788838940377803
150,0.0957561604889279,0.0790286374313423
150,0.0968054784563349,0.079682099836531
150,0.0978553472468473,0.0798874089218001
150,0.0989057674390606,0.0799772341944428
150,0.0999567396124829,0.0806325490470046
150,0.101008264347536,0.0815712876786004
150,0.102060342225558,0.0818394941575066
150,0.103112973828804,0.0820350107847798
150,0.104166159740451,0.0840948571445572
150,0.105219900544595,0.0841895414078647
150,0.106274196826257,0.0849060217873939
150,0.107329049171386,0.0860319631109892
150,0.108384458166854,0.0887027656312301
150,0.109440424400466,0.0894175588825759
150,0.110496948460957,0.0921758098834611
150,0.111554030937997,0.093214578143498
150,0.11261167242219,0.0932272456727858
150,0.113669873505077,0.0938488553318012
150,0.114728634779142,0.0940208932854494
150,0.115787956837805,0.0949722801590241
150,0.116847840275434,0.0953788194138997
150,0.117908285687341,0.0968913216213336
150,0.118969293669784,0.0976349476514189
150,0.120030864819973,0.0987009692186998
150,0.121092999736067,0.0992981252745107
150,0.122155699017181,0.0994797296452875
150,0.123218963263383,0.100297111147108
150,0.124282793075699,0.100884915206499
150,0.125347189056118,0.101468371719414
150,0.126412151807585,0.101693779499528
150,0.127477681934014,0.102124547926628
150,0.128543780040281,0.102277903161303
150,0.129610446732231,0.10319442753981
150,0.130677682616681,0.103679196950646
150,0.131745488301416,0.104237843135139
150,0.132813864395197,0.104885938535381
150,0.133882811507763,0.105782136591633
150,0.134952330249828,0.106981544033809
150,0.136022421233088,0.107267177646567
150,0.13709308507022,0.107696370561292
150,0.138164322374888,0.110223414785427
150,0.13923613376174,0.110226830412213
150,0.140308519846414,0.110926985214325
150,0.141381481245539,0.111144317810405
150,0.142455018576736,0.112472784066044
150,0.143529132458622,0.112475211960281
150,0.14460382351081,0.113727158873527
150,0.145679092353915,0.115781738362849
150,0.146754939609551,0.116220484109247
150,0.147831365900336,0.116573477232217
150,0.148908371849895,0.124364808389981
150,0.14998595808286,0.125156460990969
150,0.151064125224874,0.127251821869821
150,0.152142873902591,0.127630669587139
150,0.153222204743681,0.129111561363087
150,0.15430211837683,0.12915736633496
150,0.155382615431743,0.129774388773143
150,0.156463696539147,0.131474619046532
150,0.157545362330792,0.131739799229622
150,0.158627613439451,0.133382041278239
150,0.159710450498929,0.133946321689867
150,0.160793874144058,0.134132703208988
150,0.161877885010704,0.134904341176514
150,0.162962483735766,0.135872557082145
150,0.164047670957181,0.13663010187375
150,0.165133447313925,0.139337914801715
150,0.166219813446013,0.142013531479081
150,0.167306769994507,0.144660375217188
150,0.168394317601511,0.144713400036621
150,0.169482456910181,0.144747673976752
150,0.170571188564721,0.145397875804338
150,0.171660513210387,0.148067961067442
150,0.172750431493491,0.148933883222941
150,0.173840944061403,0.151592919129592
150,0.174932051562552,0.151771015653597
150,0.176023754646427,0.154354130258021
150,0.177116053963583,0.155688552119679
150,0.178208950165642,0.155882279843365
150,0.179302443905293,0.156406931475041
150,0.180396535836298,0.156931373197307
150,0.18149122661349,0.158531961742985
150,0.182586516892782,0.16001752120964
150,0.18368240733116,0.160918852345685
150,0.184778898586695,0.161172887415504
150,0.185875991318538,0.162396952870701
150,0.186973686186928,0.16312614073581
150,0.188071983853188,0.164520647812586
150,0.189170884979736,0.166661269715613
150,0.190270390230077,0.16743435581597
150,0.191370500268816,0.169967755041041
150,0.192471215761651,0.17095327923396
150,0.193572537375384,0.171195735282561
150,0.194674465777915,0.171799353676655
150,0.195777001638251,0.171880553968812
150,0.196880145626505,0.172452133060338
150,0.197983898413901,0.172702760575268
150,0.199088260672773,0.173046583167881
150,0.20019323307657,0.17323595963944
150,0.201298816299859,0.173759917120809
150,0.202405011018325,0.174600443681513
150,0.203511817908775,0.176144331465203
150,0.20461923764914,0.176285624199777
150,0.205727270918478,0.177658923246622
150,0.206835918396977,0.178598187815901
150,0.207945180765956,0.178661947981525
150,0.209055058707869,0.180042788944069
150,0.210165552906305,0.180755147233383
150,0.211276664045994,0.181512236055887
150,0.212388392812807,0.182207484742049
150,0.213500739893761,0.182305873304344
150,0.214613705977018,0.186596277243546
150,0.21572729175189,0.188910365731519
150,0.216841497908841,0.189055771889948
150,0.21795632513949,0.190975704605468
150,0.219071774136614,0.191317138179334
150,0.220187845594148,0.192870427373991
150,0.22130454020719,0.195533044113152
150,0.222421858672004,0.195765739094212
150,0.22353980168602,0.197244154561816
150,0.224658369947839,0.199647512487539
150,0.225777564157236,0.20077295965873
150,0.226897385015158,0.201334630627186
150,0.228017833223735,0.202033534935399
150,0.229138909486272,0.20301462316067
150,0.230260614507263,0.203309650692096
150,0.231382948992383,0.203459924714088
150,0.2325059136485,0.204802248818561
150,0.23362950918367,0.205621336381017
150,0.234753736307145,0.205628221660137
150,0.235878595729373,0.206248229338013
150,0.237004088162001,0.208504763663346
150,0.23813021431788,0.210251767996362
150,0.239256974911062,0.210259739445602
150,0.240384370656812,0.210706624118553
150,0.2415124022716,0.212081238529951
150,0.242641070473111,0.212220919697295
150,0.243770375980248,0.212486120974096
150,0.244900319513129,0.213244352899915
150,0.246030901793094,0.213961260417103
150,0.247162123542709,0.214475871480906
150,0.248293985485765,0.215029820044964
150,0.249426488347283,0.215628347202768
150,0.250559632853515,0.216396284666568
150,0.251693419731951,0.216573746552647
150,0.252827849711317,0.217016250278321
150,0.25396292352158,0.217422136092812
150,0.25509864189395,0.217943428973153
150,0.256235005560885,0.219741526752717
150,0.25737201525609,0.22074999088868
150,0.258509671714525,0.221833673795017
150,0.259647975672401,0.22271404537626
150,0.260786927867191,0.22383399502034
150,0.261926529037625,0.225031183112242
150,0.263066779923699,0.226357465934996
150,0.264207681266674,0.227053156378209
150,0.265349233809082,0.233396161136194
