"n","quantity","n_paired_rmse"
150,"alpha",22.8974553699759
300,"alpha",23.0797314938967
600,"alpha",23.1466031779522
150,"Delta",5.38773288974478
300,"Delta",6.24688088736603
600,"Delta",5.57217767421206
150,"r2",6.49909435360598
300,"r2",7.34012206325356
600,"r2",7.35490571231673
