"n","method","replications","truth","mean","bias","empirical_sd","rmse","source_run_id"
150,"FPCA",2000,0.45,0.380598169238646,-0.0694018307613538,0.0370705875982501,0.0786775410372915,"experiment_3b_repeated_eigenspace_n-values150-300-600_replications150x2000-300x2000-600x2000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f1457"
300,"FPCA",2000,0.45,0.383874992203751,-0.0661250077962487,0.0265190194870485,0.0712420060175956,"experiment_3b_repeated_eigenspace_n-values150-300-600_replications150x2000-300x2000-600x2000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f1457"
600,"FPCA",2000,0.45,0.38562360270096,-0.06437639729904,0.017749517431041,0.0667773043447709,"experiment_3b_repeated_eigenspace_n-values150-300-600_replications150x2000-300x2000-600x2000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f1457"
150,"Proposed",2000,0.45,0.438810161796218,-0.0111898382037822,0.0422428076957118,0.0436895302520261,"experiment_3b_repeated_eigenspace_n-values150-300-600_replications150x2000-300x2000-600x2000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f1457"
300,"Proposed",2000,0.45,0.444434228908432,-0.00556577109156768,0.0301841996080146,0.0306856346010183,"experiment_3b_repeated_eigenspace_n-values150-300-600_replications150x2000-300x2000-600x2000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f1457"
600,"Proposed",2000,0.45,0.447373887405023,-0.00262611259497731,0.0204259943112499,0.0205890529248655,"experiment_3b_repeated_eigenspace_n-values150-300-600_replications150x2000-300x2000-600x2000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f1457"
