"n","quantity","n_paired_rmse"
150,"alpha",22.8974553699759
300,"alpha",23.0546076966745
600,"alpha",23.1036628344043
150,"Delta",5.38773288974478
300,"Delta",5.82768394231946
600,"Delta",5.54681616367213
150,"r2",6.49909435360598
300,"r2",7.1665599770342
600,"r2",7.31653129579838
