"n","method","replications","truth","mean","bias","empirical_sd","rmse","relative_bias","relative_bias_percent","source_run_id"
150,"FPCA",2000,6,6.95250012490647,0.952500124906468,0.678983605757468,1.16963443667917,0.158750020817745,15.8750020817745,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x2000-600x2000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f1457"
300,"FPCA",2000,6,6.90068203163019,0.900682031630191,0.483445115390409,1.02216947817206,0.150113671938365,15.0113671938365,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x2000-600x2000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f1457"
600,"FPCA",2000,6,6.87084102679051,0.870841026790513,0.340182908799537,0.934896060091788,0.145140171131752,14.5140171131752,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x2000-600x2000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f1457"
150,"Proposed",2000,6,6.35926095141913,0.359260951419129,0.712304257357265,0.797616510352148,0.0598768252365215,5.98768252365215,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x2000-600x2000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f1457"
300,"Proposed",2000,6,6.1744215892389,0.174421589238903,0.499438502088643,0.528901681555739,0.0290702648731505,2.90702648731505,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x2000-600x2000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f1457"
600,"Proposed",2000,6,6.07980822512686,0.0798082251268571,0.348800015754323,0.357728910017935,0.0133013708544762,1.33013708544762,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x2000-600x2000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f1457"
