"standardized_alpha","quantity","standardized_error"
0.443952939332999,"Delta",0.471907220061058
-0.460541892526284,"Delta",-0.329234283926821
-0.508101610378275,"Delta",-0.778180291628211
1.40279505481662,"Delta",1.80485292436474
-0.0345601849100722,"Delta",-0.380319998948344
-1.4780016550739,"Delta",-1.10790023168447
-0.560037683408332,"Delta",-0.770569292978826
-0.0116752504759714,"Delta",-0.0616247823908477
0.831013465617087,"Delta",0.342735911362144
0.685114585198306,"Delta",0.606495441355866
0.0478128880192643,"Delta",-0.481840825787113
0.628503717085891,"Delta",0.314363060911318
-0.629422868245251,"Delta",-0.699690175356847
1.59714199731081,"Delta",1.75678649522766
0.0732749341922228,"Delta",-0.353092901049086
1.23432890174726,"Delta",0.829062162266373
-0.380554892974167,"Delta",-0.00629490394065499
1.27219736955239,"Delta",0.616350901910013
0.377933027006897,"Delta",0.371695193618071
-1.8757142794299,"Delta",-1.12477427566258
-0.312665267502222,"Delta",-0.370477522348268
2.88298891683651,"Delta",4.84976932976483
-0.372705674755586,"Delta",-0.597259148166856
0.566797114563596,"Delta",0.615433637478619
-0.222227871758234,"Delta",-0.695692024072776
-0.421513959795339,"Delta",-0.417425470536755
-0.559045746507961,"Delta",-0.47350765173899
0.405714737964306,"Delta",0.11860274357971
0.156015398639964,"Delta",-0.274261929693265
0.231213872265354,"Delta",-0.138137110838834
-0.170225802850792,"Delta",-0.32641883918297
0.17509400810336,"Delta",0.445934485438663
-1.57816436044884,"Delta",-1.22941304813877
-0.432220642833871,"Delta",-0.257025947758541
-0.131129057501299,"Delta",-0.687173872895548
0.000885805156749055,"Delta",-0.390518153693186
0.810806891797521,"Delta",0.621509024429947
-0.418839590771272,"Delta",-0.232565879982142
-0.395298045394892,"Delta",-0.329824408010819
0.622486099479537,"Delta",0.42418366418858
0.652818344187434,"Delta",0.0822577729189586
1.79440294127779,"Delta",2.84743194935903
-0.539463161992162,"Delta",-0.709327320787291
1.83542879723587,"Delta",1.87026239584718
-0.581311324024345,"Delta",-0.566734440299465
1.12501401856684,"Delta",1.24006515986576
1.20011537542233,"Delta",1.47847256991149
1.91996843162881,"Delta",2.78090272245271
0.300949777425429,"Delta",0.353240844591655
-0.518175037437575,"Delta",-0.833297091748911
1.1401975285356,"Delta",1.21945839025115
0.53169422719581,"Delta",0.658629676315561
1.04597723772417,"Delta",0.588303054802342
-0.177181525793508,"Delta",-0.234749179337439
0.70559859066935,"Delta",0.473108163672634
0.938649098722397,"Delta",1.13780056123855
-0.108695928912903,"Delta",-0.427084551739843
-0.921752013312552,"Delta",-0.864994815854531
-0.352592123280987,"Delta",-0.466417020222052
0.164381132675575,"Delta",0.078072654357396
0.388693538813837,"Delta",0.53484248410379
1.48863820704266,"Delta",1.80882873249966
-2.07794950308817,"Delta",-1.18814453802891
0.17538765955205,"Delta",-0.561998380371828
-0.172602816846098,"Delta",-0.668770490883256
-1.719149694893,"Delta",-1.17901344189637
-1.63532985420667,"Delta",-1.24468292298559
0.360155844422229,"Delta",0.243210045380306
0.703668761041703,"Delta",0.875111206548678
0.014711485404542,"Delta",-0.0631223932161005
-0.0690338979549351,"Delta",-0.373054534476547
1.08247473988823,"Delta",1.24131543214196
0.478847712956191,"Delta",0.273014567594116
-0.357360574301872,"Delta",-0.504019089999166
1.09918316066898,"Delta",1.63175694004024
0.596472938356348,"Delta",-0.330061061581357
-1.6285931962367,"Delta",-1.1539268898198
0.301719555487861,"Delta",0.181027819199361
0.802850205002551,"Delta",0.193668104233257
0.657195670612545,"Delta",0.803895009155213
-1.46637534875987,"Delta",-1.08113053110515
0.271636298319643,"Delta",0.242757657960666
1.30019641032653,"Delta",1.28821351536682
-0.718258457987831,"Delta",-0.736524446776469
-0.973340898903718,"Delta",-0.655446429126649
0.164959984678311,"Delta",0.232237163324121
-1.06456933993664,"Delta",-1.01641662779967
-1.08816160429712,"Delta",-0.831839726275718
1.62258910858607,"Delta",2.0291410946248
-0.144926033940217,"Delta",-0.359637472225028
1.2234118037768,"Delta",1.98555443145073
0.190208702249106,"Delta",-0.318337481998411
1.21643569535631,"Delta",1.60542758363415
0.0248758580061287,"Delta",0.0538483296851375
-0.1838527016675,"Delta",-0.0205139545392686
1.1938391885675,"Delta",0.850274992142453
-0.296725388874867,"Delta",-0.241458636534661
-1.18358372201331,"Delta",-0.786582812493821
1.83264425639806,"Delta",2.50450329062603
0.817032839253745,"Delta",1.13262276432543
1.25714273364098,"Delta",1.52440879951172
0.907795500280897,"Delta",1.30542773759555
-0.0896977281748433,"Delta",-0.147626718945612
-0.301143387346034,"Delta",-0.600791212689836
0.245135048183529,"Delta",-0.025473064932148
-2.00039770119516,"Delta",-1.16707061573555
-1.32836319563933,"Delta",-1.00832922239495
0.31059157312618,"Delta",-0.457272501716066
2.0769516187325,"Delta",3.23145604660317
-0.582573175905444,"Delta",-0.444163843126404
1.2907153667939,"Delta",1.62425710646236
-0.148833184659728,"Delta",-0.310627299804725
1.23600998896249,"Delta",1.37833700525853
-1.01102082499977,"Delta",-0.984645111993488
0.192879741063918,"Delta",0.340218532524711
-0.523785951859653,"Delta",-0.558210863945446
-0.170634618269712,"Delta",-0.675137565123857
1.11033593519659,"Delta",1.41344251751247
-0.732752129144871,"Delta",-0.547888676714573
-0.770274198206726,"Delta",-0.911735170875972
1.19343296650581,"Delta",1.14864763491492
-0.241528314810887,"Delta",-0.584667860621098
0.945580282156377,"Delta",0.483911848639726
-0.0609190657973184,"Delta",-0.584348946253749
0.053903141591635,"Delta",0.0903408506417013
0.700021559793657,"Delta",0.611661778161844
-0.383627314407932,"Delta",-0.666538207064824
-0.103597733480382,"Delta",-0.337307545574139
-0.008233200636447,"Delta",0.245050597507299
-0.323394145507163,"Delta",-0.820603830133324
0.837923862004301,"Delta",1.07453894099805
0.752215920236707,"Delta",0.293395776109164
0.713344798453862,"Delta",0.577246739426285
1.94777323762942,"Delta",2.45552639581285
-2.51841376852384,"Delta",-1.20208799566121
-0.516403718673327,"Delta",-0.542782763799205
1.11584761616059,"Delta",0.976289238848915
-0.24003903599531,"Delta",-0.134979019047413
1.85187575960085,"Delta",2.31186371795883
-1.15169578032354,"Delta",-0.75488054471519
0.0843847082883946,"Delta",-0.477663947488616
0.208038862333926,"Delta",0.40908407544653
0.388084925561727,"Delta",-0.0802151746306037
1.93824793743776,"Delta",2.16265448758775
0.327983775640724,"Delta",0.256322837052228
-1.00616175667565,"Delta",-1.02135299869643
1.05388731636802,"Delta",0.993944431168981
0.0700486886613104,"Delta",-0.388377508564524
-0.143057349440234,"Delta",-0.115368002507802
-1.38785573287711,"Delta",-1.02085800854362
-0.660710307063772,"Delta",-0.649472331586595
0.788221911694169,"Delta",0.915323730928592
-1.0627535375078,"Delta",-0.76248673240638
-0.218972070650553,"Delta",-0.46375546386445
0.795676533822801,"Delta",1.105471654406
-0.216852914254429,"Delta",-0.309366426640592
-1.54161370493386,"Delta",-1.1045199546414
-0.420345579562432,"Delta",-0.627051215486076
-0.888831107481066,"Delta",-0.921963127055125
-2.01201093332134,"Delta",-1.34464444148741
-0.868101945589213,"Delta",-0.878485535042759
0.6068430399289,"Delta",1.05858342869403
-0.452656873661951,"Delta",-0.544603419668269
0.400231867747463,"Delta",0.560616056659661
-0.0298513301613973,"Delta",-0.117932572299557
-0.750834195642409,"Delta",-0.950620999020207
0.0547479371024085,"Delta",-0.428717468282671
-0.104356898353592,"Delta",-0.09802200163608
0.501830817409398,"Delta",-0.253596517343127
-0.00390929069965918,"Delta",-0.0044035434287856
-1.43242839705972,"Delta",-1.09323673474755
1.18060214367143,"Delta",1.71731797891919
-0.807015682397873,"Delta",-0.769244425317622
0.328069180874033,"Delta",0.497084493454585
0.809812074732058,"Delta",0.2635082105431
-1.34952671431748,"Delta",-1.09075445204412
0.919359323257227,"Delta",1.08226181537498
-0.175879276046557,"Delta",-0.471546663471044
1.02791374573523,"Delta",1.05246608075374
0.478538974689222,"Delta",-0.157473283026932
1.46252237554727,"Delta",0.198231018672217
-0.917653953902917,"Delta",-0.978391215083874
-0.822237982975299,"Delta",-0.76437519337388
0.637261030453167,"Delta",0.434345273722883
1.47984049696078,"Delta",2.02639089611787
-0.329821659973476,"Delta",-0.497461195535902
0.190773948391305,"Delta",-0.107895838834097
0.811699712911856,"Delta",0.845237055901935
-0.294130385563011,"Delta",-0.235298748104298
-0.0403852482672984,"Delta",-0.0565130999867362
-0.313282404061956,"Delta",-0.026135674174364
-0.408301949232953,"Delta",-0.928909454803316
-0.477311352612387,"Delta",-0.424215471631486
-1.3522695993994,"Delta",-1.10412765826547
1.41194269045079,"Delta",2.11316846697572
0.718122697538048,"Delta",1.4802161850074
0.0705068953487314,"Delta",0.0272483046506941
2.02840230333842,"Delta",2.2492436699426
1.12956667880004,"Delta",1.33332831961947
1.89007022984665,"Delta",1.92959143021704
-0.339293263225636,"Delta",-0.605316015385427
1.77573276432638,"Delta",2.74646249216436
