"n","method","replications","truth","mean","bias","empirical_sd","rmse","source_run_id"
150,"FPCA",2000,0.6,0.53653414888108,-0.0634658511189196,0.0768859312134725,0.0996815176128574,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x1500-600x1000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f14e6"
300,"FPCA",1500,0.6,0.547063086302816,-0.0529369136971842,0.0489316316144387,0.0720765232318122,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x1500-600x1000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f14e6"
600,"FPCA",1000,0.6,0.552745477564292,-0.0472545224357077,0.032252317104105,0.0572028114453473,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x1500-600x1000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f14e6"
150,"Proposed",2000,0.6,0.575065089078131,-0.0249349109218686,0.0821041451941833,0.0857873527707903,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x1500-600x1000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f14e6"
300,"Proposed",1500,0.6,0.588163775765388,-0.0118362242346121,0.0523161869730862,0.0536214040092387,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x1500-600x1000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f14e6"
600,"Proposed",1000,0.6,0.595216208670005,-0.00478379132999528,0.0345628023313489,0.0348751684896265,"experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x1500-600x1000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f14e6"
