"analysis_setting","comparison","maximum_absolute_difference","status"
"Experiment 3A","means at n=150,300,600 rounded to three decimals",0,"matches_locked_results"
"Experiment 3B","means at n=150,300,600 rounded to three decimals",0,"matches_locked_results"
"Experiment 2B prior columns","all pre-existing numeric replication columns",2.69784194983913e-14,"matches_locked_results_floating_tolerance"
"EEGMMIDB deterministic point estimates","exact numeric comparison",0,"matches_locked_results"
"CAPTURE-24 deterministic point estimates","exact numeric comparison",0,"matches_locked_results"
"Experiment 3D symmetric output","22500 symmetric-gap replications; exact gap identity and complete Proposed boundary intervals",3.05311331771918e-16,"all_valid"
"Real-data candidate cluster rules","CAPTURE PC3-4/PC5-6; EEG PC3-4 only",0,"matches_prespecified_nonoverlapping_sets"
