"rank","sample_eigenvalue","fpca_eigenvalue_se","fpca_eigenvalue_ci_lower","fpca_eigenvalue_ci_upper","proposed_alpha","proposed_alpha_se","proposed_alpha_ci_lower","proposed_alpha_ci_upper","hat_Delta","Delta_se","Delta_ci_lower","Delta_ci_upper","Delta_one_sided_lower","hat_r2","r2_se","r2_ci_lower","r2_ci_upper","phase_valid","fpca_gap_wald_regular","fpca_equality_rejected","proposed_equality_rejected","proposed_gap_local_inference_valid","prespecified_cluster_member"
1,2.11179748044886,0.454128099554294,1.22172276095483,3.0018721999429,2.1448713404264,0.312345139232739,1.53268611678408,2.75705656406872,0.898201312957224,0.00221987323678307,0.893850441362884,0.902552184551563,0.894549946412328,0.91226846889022,0.0139096290121213,0.885006096988149,0.939530840792292,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
2,1.94632250840398,0.355429199824791,1.2496940776935,2.64295093911446,1.96049259946915,0.285739781541813,1.40045291869685,2.52053228024144,0.896663918806642,0.00278768802076697,0.891200150685805,0.902127686927479,0.892078580054874,0.903192029810587,0.0155517180357096,0.872711222562874,0.9336728370583,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
3,1.63788784328946,0.29619098541139,1.05736417933771,2.21841150724121,1.6156951526144,0.236120215722236,1.15290803377699,2.07848227145181,0.891852836634836,0.00465010368479023,0.88273880088827,0.900966872381402,0.884204096723209,0.879768606196104,0.0200453383688422,0.840480464935254,0.919056747456953,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
4,1.61784378029185,0.247624360892796,1.13250895124723,2.10317860933648,1.59321484451543,0.232894250855378,1.13675050063245,2.04967918839841,0.891398398281466,0.00483218053370419,0.88192749846861,0.900869298094322,0.883450168604518,0.877828365024905,0.0204356715002501,0.837775184884523,0.917881545165287,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
5,1.3937531284404,0.198437074750337,1.00482360873226,1.78268264814854,1.34089975819881,0.196821163100514,0.955137367126518,1.7266621492711,0.884076270239934,0.00789726814956745,0.868597909090526,0.899554631389341,0.871086420081109,0.850550669845349,0.026255986738196,0.799089881459923,0.902011458230774,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
6,1.24820172856338,0.153609571001462,0.947132501719868,1.5492709554069,1.17552262273427,0.17340012217579,0.835664628354881,1.51538061711367,0.875394636221295,0.0118225874399802,0.852222790634858,0.898566481807732,0.855948210390693,0.824422988007518,0.0324860747353061,0.760751451527241,0.888094524487794,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
