"method","estimate","percentile_ci_lower","percentile_ci_upper","bootstrap_replications"
"FPCA",0.0784162164056088,-0.0464612881014639,0.123022428628292,500
"Proposed",0.0825117570730826,-0.0485357463862031,0.12742026678034,500
