"pair","raw_relative_gap_legacy","sample_gap_sym","fpca_gap_sym","fpca_gap_wald_se","fpca_gap_wald_ci_raw_lower","fpca_gap_wald_ci_raw_upper","fpca_gap_wald_ci_lower","fpca_gap_wald_ci_upper","fpca_gap_wald_regular","fpca_p_equal_general","fpca_anderson_Q","fpca_anderson_p_equal","corrected_relative_gap_legacy","proposed_gap_sym","T_proposed","proposed_p_equal","proposed_gap_ci_raw_lower","proposed_gap_ci_raw_upper","proposed_gap_ci_raw_empty","proposed_gap_upper95","proposed_gap_upper95_boundary_fallback","proposed_gap_ci_boundary_lower","proposed_gap_ci_boundary_upper","Delta_pool","r2_pool","T_sample_HC","p_sample_HC","phase_valid","fpca_equality_rejected","proposed_equality_rejected","proposed_gap_local_inference_valid","prespecified_cluster_member","equality_evidence","fpca_gap_ci_status"
"PC1-PC2",0.0783574057535622,0.0815525280176147,0.0815525280176147,0.268756202458029,-0.445199949421877,0.608305005457106,,,FALSE,0.929530704692953,0.174729190908831,0.916342940250386,0.0859626111282723,0.0898233353518187,0.435982982005295,0.909336032591294,0,0.338635886296519,FALSE,0.230193586130487,FALSE,0,0.338635886296519,0.897493707789713,0.907959592698266,0.43596464071429,0.909343303964584,TRUE,FALSE,FALSE,TRUE,FALSE,"both_insufficient_evidence","not valid under near-tie"
"PC2-PC3",0.158470481527466,0.17210745734764,0.17210745734764,0.243232265748935,-0.304619023398348,0.648833938093629,,,FALSE,0.758482415175848,0.78044391158512,0.676906614479135,0.175872863252893,0.192829611171203,0.934484837112643,0.646209867675361,0,0.526302834200663,FALSE,0.4533372744154,FALSE,0,0.526302834200663,0.894680061822699,0.892791612205711,0.934217762878923,0.646371143755383,TRUE,FALSE,FALSE,TRUE,FALSE,"both_insufficient_evidence","not valid under near-tie"
"PC3-PC4",0.0122377506370331,0.0123130929173799,0.0123130929173799,0.197788364792981,-0.375344978637934,0.399971164472693,,,FALSE,0.998550014499855,0.00397989717691588,0.998012030046556,0.0139137064703055,0.0140111801945704,0.067784651865876,0.997705257442278,,,TRUE,0.519963795887247,TRUE,0,0.519963795887247,0.89162860946822,0.878806622668394,0.0677845140792769,0.997705266760652,TRUE,FALSE,FALSE,TRUE,TRUE,"both_insufficient_evidence","not valid under near-tie"
"PC4-PC5",0.138511922214782,0.148818489753189,0.148818489753189,0.194498740258983,-0.232392036192828,0.530029015699206,,,FALSE,0.773932260677393,0.582972627021852,0.747152239423954,0.15836852586781,0.171987206009754,0.830522168881905,0.708302840090659,0,0.498503467001579,FALSE,0.423032479870164,FALSE,0,0.498503467001579,0.888343376418959,0.865639611812933,0.830184956547921,0.708501196524429,TRUE,FALSE,FALSE,TRUE,FALSE,"both_insufficient_evidence","not valid under near-tie"
"PC5-PC6",0.104431263261012,0.110184622944002,0.110184622944002,0.17773611808215,-0.238171767248969,0.458541013136973,,,FALSE,0.851341486585134,0.319176714291256,0.852494640075558,0.123332959420235,0.13143829646215,0.631839002909345,0.819049905098942,0,0.434698774422957,FALSE,0.350612727002854,FALSE,0,0.434698774422957,0.880318261362045,0.83862473975354,0.631593757740854,0.819176806554901,TRUE,FALSE,FALSE,TRUE,FALSE,"both_insufficient_evidence","not valid under near-tie"
