"spike_index","K0","hat_lambda","mhat1","mhat2","mhat3","mhat4","hat_alpha","hat_Delta","hat_r2","d_alpha","d_Delta","d_r2","se_alpha","se_Delta","se_r2","ci_alpha_lower","ci_alpha_upper","ci_Delta_lower","ci_Delta_upper","ci_r2_lower","ci_r2_upper","ci_r2_display_lower","ci_r2_display_upper","phase_lower_bound","phase_certified","sample_gap_previous","sample_gap_next","minimum_neighbor_gap","previous_relative_gap","next_relative_gap","relative_neighbor_gap","phase_interior","separation_pass","regular_inference_valid","inference_status","K0_sensitivity"
1,8,2.11179748044886,-0.480705204448948,0.253013131508084,-0.13505838620632,0.0733398407384609,2.08027704036685,0.91330237370277,0.89967053020756,1.09492762615489,0.0136310363857971,0.0609366205867744,0.300423727954616,0.00374005246473421,0.01671965003744,1.49145735347455,2.66909672725916,0.905972005571601,0.920632741833939,0.866900618300064,0.932440442115057,0.866900618300064,0.932440442115057,0.907150534841163,1,Inf,0.165474972044882,0.165474972044882,Inf,0.0783574057535622,0.0783574057535622,TRUE,TRUE,TRUE,"regular_separated",8
2,8,1.94632250840398,-0.526636661369359,0.304569817586352,-0.179365522201888,0.108035633582366,1.89884235822057,0.910616079085487,0.888401781091334,1.09815763521799,0.0192763464634587,0.0761440929986181,0.274625968903922,0.00482060603567552,0.0190420251568936,1.36058534994946,2.43709936649167,0.901167864871906,0.920064293299067,0.851080097591116,0.925723464591551,0.851080097591116,0.925723464591551,0.902686887763602,1,0.165474972044882,0.308434665114525,0.165474972044882,0.0783574057535622,0.158470481527466,0.0783574057535622,TRUE,TRUE,TRUE,"regular_separated",8
3,8,1.63788784328946,-0.641565352385333,0.456460211801048,-0.335490121736702,0.257226328074219,1.55868766335652,0.901734895484645,0.85813144225261,1.10897338564517,0.0423874544866971,0.126954578110354,0.226537450300717,0.00865877034422037,0.0259338653221069,1.11468241961759,2.00269290709546,0.884764017459569,0.91870577350972,0.807302000241368,0.908960884263852,0.807302000241368,0.908960884263852,0.887492485679014,1,0.308434665114525,0.0200440629976044,0.0200440629976044,0.158470481527466,0.0122377506370331,0.0122377506370331,TRUE,FALSE,FALSE,"weak_sample_separation",8
4,8,1.61784378029185,-0.650851563200247,0.470226254893225,-0.351473297718891,0.274627209442856,1.5364486413507,0.900859432905111,0.855536405057187,1.11005109506949,0.0450019219436328,0.132031744580892,0.223413741034464,0.00905728374110432,0.0265732866920664,1.09856575527179,1.97433152742961,0.883107482974786,0.918611382835436,0.803453720189879,0.907619089924495,0.803453720189879,0.907619089924495,0.885961526893227,1,0.0200440629976044,0.224090651851453,0.0200440629976044,0.0122377506370331,0.138511922214782,0.0122377506370331,TRUE,FALSE,FALSE,"weak_sample_separation",8
1,10,2.11179748044886,-0.466228431119417,0.242004711915206,-0.126683094224193,0.0669646063844788,2.1448713404264,0.898201312957224,0.91226846889022,1.11333615924877,0.00791260958800333,0.0495800670340871,0.312345139232739,0.00221987323678307,0.0139096290121213,1.53268611678408,2.75705656406872,0.893850441362884,0.902552184551563,0.885006096988149,0.939530840792292,0.885006096988149,0.939530840792292,0.894549946412328,1,Inf,0.165474972044882,0.165474972044882,Inf,0.0783574057535622,0.0783574057535622,TRUE,TRUE,TRUE,"regular_separated",10
2,10,1.94632250840398,-0.510075886167984,0.29016156911535,-0.166821647829128,0.0971076202968408,1.96049259946915,0.896663918806642,0.903192029810587,1.11524505338732,0.0108803725500592,0.060698501683643,0.285739781541813,0.00278768802076697,0.0155517180357096,1.40045291869685,2.52053228024144,0.891200150685805,0.902127686927479,0.872711222562874,0.9336728370583,0.872711222562874,0.9336728370583,0.892078580054874,1,0.165474972044882,0.308434665114525,0.165474972044882,0.0783574057535622,0.158470481527466,0.0783574057535622,TRUE,TRUE,TRUE,"regular_separated",10
3,10,1.63788784328946,-0.61892863785713,0.429524516853142,-0.303399137019811,0.218946091207836,1.6156951526144,0.891852836634836,0.879768606196104,1.12126122037491,0.0220818912795306,0.0951890565300685,0.236120215722236,0.00465010368479023,0.0200453383688422,1.15290803377699,2.07848227145181,0.88273880088827,0.900966872381402,0.840480464935254,0.919056747456953,0.840480464935254,0.919056747456953,0.884204096723209,1,0.308434665114525,0.0200440629976044,0.0200440629976044,0.158470481527466,0.0122377506370331,0.0122377506370331,TRUE,FALSE,FALSE,"weak_sample_separation",10
4,10,1.61784378029185,-0.627661739057011,0.441956435456456,-0.316965662020283,0.232450735021877,1.59321484451543,0.891398398281466,0.877828365024905,1.12183284368461,0.0232762243353488,0.0984369832554012,0.232894250855378,0.00483218053370419,0.0204356715002501,1.13675050063245,2.04967918839841,0.88192749846861,0.900869298094322,0.837775184884523,0.917881545165287,0.837775184884523,0.917881545165287,0.883450168604518,1,0.0200440629976044,0.224090651851453,0.0200440629976044,0.0122377506370331,0.138511922214782,0.0122377506370331,TRUE,FALSE,FALSE,"weak_sample_separation",10
1,12,2.11179748044886,-0.453114993413811,0.232972131278004,-0.120458282305624,0.0626726118073582,2.20694528880165,0.881277928523559,0.920984228121414,1.13471581170238,0.00509983551176796,0.0427459690953693,0.324455745068154,0.00145822497019166,0.0122225980359707,1.57102371389096,2.84286686371234,0.878419860100627,0.884135996946492,0.897028376173401,0.944940080069426,0.897028376173401,0.944940080069426,0.878879361892428,1,Inf,0.165474972044882,0.165474972044882,Inf,0.0783574057535622,0.0783574057535622,TRUE,TRUE,TRUE,"regular_separated",12
2,12,1.94632250840398,-0.495275381511641,0.27865378316603,-0.157868290619956,0.0901372148776878,2.01907875361759,0.880295615385013,0.913202291116741,1.13598202981237,0.00689317950716395,0.0517466045509769,0.297001975315969,0.00180221858806463,0.0135291257820979,1.43696557866103,2.60119192857414,0.876763331860138,0.883827898909888,0.886685691841517,0.939718890391965,0.886685691841517,0.939718890391965,0.877331229603876,1,0.165474972044882,0.308434665114525,0.165474972044882,0.0783574057535622,0.158470481527466,0.0783574057535622,TRUE,TRUE,TRUE,"regular_separated",12
