"fpca_gap_sym","fpca_gap_legacy_asymmetric","fpca_gap_wald_se","fpca_gap_wald_ci_raw_lower","fpca_gap_wald_ci_raw_upper","fpca_gap_wald_ci_lower","fpca_gap_wald_ci_upper","fpca_gap_wald_regular","fpca_p_equal_general","fpca_equality_draws","fpca_anderson_Q","fpca_anderson_p_equal","fpca_pair_score_identity_error","sample_lambda_upper","sample_lambda_lower","sample_gap_sym","raw_relative_gap","raw_relative_gap_legacy","lambda_pool","alpha_hat_upper","alpha_hat_lower","alpha_pool","proposed_gap_sym","corrected_relative_gap","corrected_relative_gap_legacy","Delta_pool","r2_pool","T_sample_HC","p_sample_HC","T_proposed","T2_proposed","p_proposed","proposed_gap_ci_raw_lower","proposed_gap_ci_raw_upper","proposed_gap_ci_raw_empty","proposed_gap_upper95","proposed_gap_upper95_boundary_fallback","proposed_gap_ci_boundary_lower","proposed_gap_ci_boundary_upper","proposed_gap_local_inference_valid","inference_valid","pair","upper_rank","fpca_p_equal","proposed_p_equal","sample_HC_p_equal","fpca_reject_equal","proposed_reject_equal","phase_separation_certified","gap_inference_valid","phase_valid","fpca_simple_gap_wald_valid","fpca_equality_rejected","proposed_equality_rejected","prespecified_cluster_member","equality_evidence","cluster","multiplicity","pooled_alpha","pooled_alpha_se","pooled_alpha_ci_lower","pooled_alpha_ci_upper","pooled_Delta","pooled_Delta_se","pooled_Delta_ci_lower","pooled_Delta_ci_upper","pooled_Delta_one_sided_lower","pooled_r2","pooled_r2_se","pooled_r2_ci_lower","pooled_r2_ci_upper","pooled_inference_valid","K0_sensitivity"
0.0815525280176147,0.0783574057535622,0.268756202458029,-0.445199949421877,0.608305005457106,0,0.608305005457106,FALSE,0.929530704692953,100000,0.174729190908831,0.916342940250386,1.11022302462516e-15,2.11179748044886,1.94632250840398,0.0815525280176147,0.0783574057535622,0.0783574057535622,2.02905999442642,2.08027704036685,1.89884235822057,1.98962627605014,0.0911933842501416,0.087216595975261,0.087216595975261,0.912075323391746,0.894349617133981,0.446180010646252,0.905255277067276,0.446214151641505,0.199107069125148,0.905241486864274,0,0.342008742090137,FALSE,0.236935013461455,FALSE,0,0.342008742090137,TRUE,TRUE,"PC1-PC2",1,0.929530704692953,0.905241486864274,0.905255277067276,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"both_insufficient_evidence","PC1-PC2",2,1.98962627605014,0.203311294407121,1.59114346136197,2.38810909073832,0.912075323391746,0.00299005046062336,0.906214932176967,0.917935714606525,0.907157128046822,0.894349617133981,0.012587298774897,0.869678964872538,0.919020269395425,TRUE,8
0.17210745734764,0.158470481527466,0.243232265748935,-0.304619023398348,0.648833938093629,0,0.648833938093629,FALSE,0.758482415175848,100000,0.78044391158512,0.676906614479135,1.11022302462516e-15,1.94632250840398,1.63788784328946,0.17210745734764,0.158470481527466,0.158470481527466,1.79210517584672,1.89884235822057,1.55868766335652,1.72917436757119,0.196761672489477,0.179137932852312,0.179137932852312,0.907040072771237,0.875188836757243,0.959568118486779,0.631040340761561,0.960104259750087,0.921800189590263,0.630715686030383,0,0.529637017728832,FALSE,0.457599557754666,FALSE,0,0.529637017728832,TRUE,TRUE,"PC2-PC3",2,0.758482415175848,0.630715686030383,0.631040340761561,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"both_insufficient_evidence","PC2-PC3",2,1.72917436757119,0.177186611315422,1.38189499085026,2.07645374429211,0.907040072771237,0.00446848973999615,0.898281993815558,0.915798151726916,0.899690061215409,0.875188836757243,0.0155045970127899,0.844800385017368,0.905577288497119,TRUE,8
0.0123130929173799,0.0122377506370331,0.197788364792981,-0.375344978637934,0.399971164472693,0,0.399971164472693,FALSE,0.998550014499855,100000,0.00397989717691588,0.998012030046556,1.11022302462516e-15,1.63788784328946,1.61784378029185,0.0123130929173799,0.0122377506370331,0.0122377506370331,1.62786581179066,1.55868766335652,1.5364486413507,1.54757085226826,0.0143703021879836,0.0142677859898696,0.0142677859898696,0.901303713604208,0.856846643078459,0.0698979262653567,0.997560121306337,0.0698982230009993,0.00488576157869742,0.997560100615694,,,TRUE,0.517599999973856,TRUE,0,0.517599999973856,TRUE,TRUE,"PC3-PC4",3,0.998550014499855,0.997560100615694,0.997560121306337,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"both_insufficient_evidence","PC3-PC4",2,1.54757085226826,0.159081732335973,1.23577638629151,1.85936531824501,0.901303713604208,0.0062611611237468,0.889032063300262,0.913575363908154,0.891005020020886,0.856846643078459,0.0185611463948438,0.82046746463279,0.893225821524128,TRUE,8
0.148818489753189,0.138511922214782,0.194498740258983,-0.232392036192828,0.530029015699206,0,0.530029015699206,FALSE,0.773932260677393,100000,0.582972627021852,0.747152239423954,1.11022302462516e-15,1.61784378029185,1.3937531284404,0.148818489753189,0.138511922214782,0.138511922214782,1.50579845436613,1.5364486413507,1.28587649588588,1.41167843687359,0.177564336694505,0.163085272570218,0.163085272570218,0.894810691228159,0.83888049840142,0.859779390523225,0.691003562135066,0.86056955851486,0.74057996504246,0.690534058793727,0,0.505476715002632,FALSE,0.431018399176381,FALSE,0,0.505476715002632,TRUE,TRUE,"PC4-PC5",4,0.773932260677393,0.690534058793727,0.691003562135066,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"both_insufficient_evidence","PC4-PC5",2,1.41167843687359,0.145638282686865,1.12623264803707,1.69712422571011,0.894810691228159,0.00841523260428588,0.878317138402231,0.911304244054086,0.880968865357359,0.83888049840142,0.0218332573538886,0.796088100322604,0.881672896480236,TRUE,8
0.110184622944002,0.104431263261012,0.17773611808215,-0.238171767248969,0.458541013136973,0,0.458541013136973,FALSE,0.851341486585134,100000,0.319176714291256,0.852494640075558,6.66133814775094e-16,1.3937531284404,1.24820172856338,0.110184622944002,0.104431263261012,0.104431263261012,1.32097742850189,1.28587649588588,1.11990472391422,1.20335709349427,0.137977444171296,0.129072871696996,0.129072871696996,0.877544378480321,0.7994074916919,0.661533701479519,0.803471616629185,0.66222762596607,0.438545428592658,0.803102670706577,0,0.446649874696697,FALSE,0.364243628642698,FALSE,0,0.446649874696697,TRUE,TRUE,"PC5-PC6",5,0.851341486585134,0.803102670706577,0.803471616629185,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"both_insufficient_evidence","PC5-PC6",2,1.20335709349427,0.125361831548119,0.957652418623977,1.44906176836456,0.877544378480321,0.0147075678119948,0.848718075268631,0.906370681692012,0.853352582221127,0.7994074916919,0.0301032791960345,0.740406148651118,0.858408834732681,TRUE,8
0.0815525280176147,0.0783574057535622,0.268756202458029,-0.445199949421877,0.608305005457106,0,0.608305005457106,FALSE,0.929530704692953,100000,0.174729190908831,0.916342940250386,1.11022302462516e-15,2.11179748044886,1.94632250840398,0.0815525280176147,0.0783574057535622,0.0783574057535622,2.02905999442642,2.1448713404264,1.96049259946915,2.05272133955888,0.0898233353518187,0.0859626111282723,0.0859626111282723,0.897493707789713,0.907959592698266,0.43596464071429,0.909343303964584,0.435982982005295,0.190081160598229,0.909336032591294,0,0.338635886296519,FALSE,0.230193586130487,FALSE,0,0.338635886296519,TRUE,TRUE,"PC1-PC2",1,0.929530704692953,0.909336032591294,0.909343303964584,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"both_insufficient_evidence","PC1-PC2",2,2.05272133955888,0.211455819237449,1.63827554953206,2.46716712958569,0.897493707789713,0.00175322421810951,0.894057451465395,0.900929964114031,0.894609910575696,0.907959592698266,0.0103823119661897,0.887610635168275,0.928308550228257,TRUE,10
0.17210745734764,0.158470481527466,0.243232265748935,-0.304619023398348,0.648833938093629,0,0.648833938093629,FALSE,0.758482415175848,100000,0.78044391158512,0.676906614479135,1.11022302462516e-15,1.94632250840398,1.63788784328946,0.17210745734764,0.158470481527466,0.158470481527466,1.79210517584672,1.96049259946915,1.6156951526144,1.78832248248253,0.192829611171203,0.175872863252893,0.175872863252893,0.894680061822699,0.892791612205711,0.934217762878923,0.646371143755383,0.934484837112643,0.873261910793442,0.646209867675361,0,0.526302834200663,FALSE,0.4533372744154,FALSE,0,0.526302834200663,TRUE,TRUE,"PC2-PC3",2,0.758482415175848,0.646209867675361,0.646371143755383,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"both_insufficient_evidence","PC2-PC3",2,1.78832248248253,0.184508894767792,1.42669169391037,2.14995327105469,0.894680061822699,0.00250364762762793,0.889773002642569,0.899587121002829,0.890561927941787,0.892791612205711,0.0123736639433808,0.868539676519883,0.917043547891539,TRUE,10
0.0123130929173799,0.0122377506370331,0.197788364792981,-0.375344978637934,0.399971164472693,0,0.399971164472693,FALSE,0.998550014499855,100000,0.00397989717691588,0.998012030046556,1.11022302462516e-15,1.63788784328946,1.61784378029185,0.0123130929173799,0.0122377506370331,0.0122377506370331,1.62786581179066,1.6156951526144,1.59321484451543,1.60445643065481,0.0140111801945704,0.0139137064703055,0.0139137064703055,0.89162860946822,0.878806622668394,0.0677845140792769,0.997705266760652,0.067784651865876,0.00459475902857801,0.997705257442278,,,TRUE,0.519963795887247,TRUE,0,0.519963795887247,TRUE,TRUE,"PC3-PC4",3,0.998550014499855,0.997705257442278,0.997705266760652,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"both_insufficient_evidence","PC3-PC4",2,1.60445643065481,0.165821668662716,1.27945193221955,1.92946092909007,0.89162860946822,0.00335155686597005,0.885059678718781,0.898197540217659,0.886115789001295,0.878806622668394,0.0143107807177393,0.850758007870975,0.906855237465814,TRUE,10
0.148818489753189,0.138511922214782,0.194498740258983,-0.232392036192828,0.530029015699206,0,0.530029015699206,FALSE,0.773932260677393,100000,0.582972627021852,0.747152239423954,1.11022302462516e-15,1.61784378029185,1.3937531284404,0.148818489753189,0.138511922214782,0.138511922214782,1.50579845436613,1.59321484451543,1.34089975819881,1.46731413111957,0.171987206009754,0.15836852586781,0.15836852586781,0.888343376418959,0.865639611812933,0.830184956547921,0.708501196524429,0.830522168881905,0.689767073004303,0.708302840090659,0,0.498503467001579,FALSE,0.423032479870164,FALSE,0,0.498503467001579,TRUE,TRUE,"PC4-PC5",4,0.773932260677393,0.708302840090659,0.708501196524429,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"both_insufficient_evidence","PC4-PC5",2,1.46731413111957,0.151928068391976,1.16954058883056,1.76508767340858,0.888343376418959,0.00430042053870015,0.87991470704473,0.896772045793187,0.881269814098461,0.865639611812933,0.0162331968050096,0.833823130721164,0.897456092904703,TRUE,10
0.110184622944002,0.104431263261012,0.17773611808215,-0.238171767248969,0.458541013136973,0,0.458541013136973,FALSE,0.851341486585134,100000,0.319176714291256,0.852494640075558,6.66133814775094e-16,1.3937531284404,1.24820172856338,0.110184622944002,0.104431263261012,0.104431263261012,1.32097742850189,1.34089975819881,1.17552262273427,1.25841346342592,0.13143829646215,0.123332959420235,0.123332959420235,0.880318261362045,0.83862473975354,0.631593757740854,0.819176806554901,0.631839002909345,0.399220525597475,0.819049905098942,0,0.434698774422957,FALSE,0.350612727002854,FALSE,0,0.434698774422957,TRUE,TRUE,"PC5-PC6",5,0.851341486585134,0.819049905098942,0.819176806554901,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"both_insufficient_evidence","PC5-PC6",2,1.25841346342592,0.130890718297007,1.00187236965321,1.51495455719864,0.880318261362045,0.00675975187986769,0.867069391133077,0.893567131591013,0.869199458965153,0.83862473975354,0.0205159494439611,0.798414217734731,0.878835261772348,TRUE,10
