"spike_index","hat_Delta","phase_lower_bound","hat_r2"
1,0.898201312957224,0.894549946412328,0.91226846889022
2,0.896663918806642,0.892078580054874,0.903192029810587
3,0.891852836634836,0.884204096723209,0.879768606196104
4,0.891398398281466,0.883450168604518,0.877828365024905
5,0.884076270239934,0.871086420081109,0.850550669845349
6,0.875394636221295,0.855948210390693,0.824422988007518
