"pair","raw_relative_gap_legacy","sample_gap_sym","fpca_gap_sym","fpca_gap_wald_se","fpca_gap_wald_ci_raw_lower","fpca_gap_wald_ci_raw_upper","fpca_gap_wald_ci_lower","fpca_gap_wald_ci_upper","fpca_gap_wald_regular","fpca_p_equal_general","fpca_anderson_Q","fpca_anderson_p_equal","corrected_relative_gap_legacy","proposed_gap_sym","T_proposed","proposed_p_equal","proposed_gap_ci_raw_lower","proposed_gap_ci_raw_upper","proposed_gap_ci_raw_empty","proposed_gap_upper95","proposed_gap_upper95_boundary_fallback","proposed_gap_ci_boundary_lower","proposed_gap_ci_boundary_upper","Delta_pool","r2_pool","T_sample_HC","p_sample_HC","phase_valid","fpca_equality_rejected","proposed_equality_rejected","proposed_gap_local_inference_valid","prespecified_cluster_member","equality_evidence","fpca_gap_ci_status"
"PC1-PC2",0.20180697172375,0.224455293230897,0.224455293230897,0.164139658919312,-0.0972525266856427,0.546163113147436,,,FALSE,0.361436385636144,1.90125519012578,0.386498382845553,0.222898225288305,0.250855891834857,1.48918685927257,0.329941883408247,0,0.541851015447659,FALSE,0.486094137163503,FALSE,0,0.541851015447659,0.939763366321067,0.895031893462688,1.48873099383412,0.330165912405236,TRUE,FALSE,FALSE,TRUE,FALSE,"both_insufficient_evidence","not valid under near-tie"
"PC2-PC3",0.285705406006952,0.333321247127623,0.333321247127623,0.167138906974403,0.00573500904240187,0.660907485212844,,,FALSE,0.115978840211598,4.22532076281392,0.120915855860136,0.327175575434171,0.391165469166422,2.31237100647917,0.0690082072502363,0,0.695116733073041,FALSE,0.640507843319696,FALSE,0,0.695116733073041,0.931885906410927,0.853769208282537,2.30791343922336,0.0697224985903993,TRUE,FALSE,FALSE,TRUE,FALSE,"both_insufficient_evidence","not valid under near-tie"
"PC3-PC4",0.0490193339341242,0.0502509684352444,0.0502509684352444,0.174498964282914,-0.291760716898809,0.392262653769298,,,FALSE,0.955170448295517,0.0947233956864857,0.953742368638273,0.060436912458544,0.062320130597198,0.365638339274967,0.935339515358956,0,0.238932352405122,FALSE,0.124294833308739,FALSE,0,0.238932352405122,0.917942500758648,0.806423140641824,0.365598855314749,0.935353018083277,TRUE,FALSE,FALSE,TRUE,TRUE,"both_insufficient_evidence","not valid under near-tie"
"PC4-PC5",0.295412523799641,0.346608816413617,0.346608816413617,0.166437873063896,0.0203965795449311,0.672821053282303,,,FALSE,0.20649793502065,4.57420357340854,0.101560379372136,0.386867058931036,0.479646840110616,2.76729246598273,0.0217323401986609,0.048153613934276,0.794943627060425,FALSE,0.739326805511601,FALSE,0.048153613934276,0.794943627060425,0.887637575034907,0.73900696425626,2.70597978082909,0.0257025958298806,TRUE,FALSE,TRUE,TRUE,FALSE,"methods_differ","not valid under near-tie"
"PC5-PC6",0.0440535444765419,0.0450457571086752,0.0450457571086752,0.20955878541473,-0.365681914948153,0.455773429165503,,,FALSE,0.974870251297487,0.0761113152648176,0.962659360059325,0.0775854498420253,0.0807166693943819,0.427938470149248,0.912501392848957,0,0.305455900332054,FALSE,0.204178082408418,FALSE,0,0.305455900332054,0.749557450133039,0.560210908873827,0.42630499930388,0.913138258909982,TRUE,FALSE,FALSE,TRUE,TRUE,"both_insufficient_evidence","not valid under near-tie"
