"domain_hours","spike_index","hat_r2"
6,1,0.968827142988417
6,2,0.952742073317821
12,1,0.950943775521325
12,2,0.912245316975612
18,1,0.922903454886047
18,2,0.888621376482119
24,1,0.907125849357137
24,2,0.879157239338689
