"minimum_main_sleep_hours","domain_hours","n_subjects","grid_size","sample_effective_rank","effective_rank_over_n","pc1_variance_percent","hat_r2_pc1","hat_r2_pc2"
3,6,126,4320,8.09041147164393,0.0642096148543169,12.3603107642287,0.958822022505101,0.941415381262408
3,12,126,8640,9.86471401857292,0.078291381099785,10.1371413111139,0.941458247623525,0.885612262694351
3,18,126,12960,14.0828679461398,0.111768793223331,7.1008263645198,0.907688266119748,0.86734611001368
3,24,126,17280,16.1169520072788,0.127912317518086,6.20464712898801,0.889677455800142,0.856136086735905
