"domain_hours","PC","lambda_fpca","PVE_fpca","PVE_fpca_percent","alpha_proposed","Delta_proposed","r2_proposed","neighbor_gap","status","eigenvalue_correction","relative_eigenvalue_correction","eigenvalue_ratio"
6,"PC2",1.12340511715036,0.0907001003948734,9.07001003948734,1.13308453537474,0.944603237511937,0.952742073317821,0.319479237991694,"regular_separated",-0.00967941822438001,-0.00854253846221525,0.991457461537785
12,"PC2",1.5338203276952,0.0597086094411873,5.97086094411874,1.48673885577153,0.941133949375283,0.912245316975612,0.324143560257628,"regular_separated",0.0470814719236701,0.0316676138118672,1.03166761381187
18,"PC2",2.01675947458993,0.0514722337868729,5.14722337868729,1.90945338845338,0.938559480519742,0.888621376482119,0.226045757307823,"regular_separated",0.10730608613655,0.0561972796955603,1.05619727969556
24,"PC2",2.26196022996079,0.0493366538807443,4.93366538807443,2.12196661875093,0.937158338728631,0.879157239338689,0.20180697172375,"regular_separated",0.13999361120986,0.0659735219078355,1.06597352190784
