"domain_hours","PC","lambda_fpca","PVE_fpca","PVE_fpca_percent","alpha_proposed","Delta_proposed","r2_proposed","neighbor_gap","status","eigenvalue_correction","relative_eigenvalue_correction","eigenvalue_ratio"
6,"PC1",1.65080212076858,0.133280430897076,13.3280430897076,1.69097797221151,0.94580883286834,0.968827142988417,0.319479237991694,"regular_separated",-0.04017585144293,-0.023758944293276,0.976241055706724
12,"PC1",2.59188319572135,0.100896916448519,10.0896916448519,2.60788588553313,0.94510852852968,0.950943775521325,0.408221662832948,"regular_separated",-0.01600268981178,-0.00613626919051658,0.993863730809483
18,"PC1",2.78196749171654,0.0710020619341481,7.10020619341481,2.72238630263427,0.943101795289479,0.922903454886047,0.275060013966754,"regular_separated",0.0595811890822699,0.021885648272847,1.02188564827285
24,"PC1",2.83385114856947,0.0618104294737955,6.18104294737955,2.73061610178176,0.941421105815788,0.907125849357137,0.20180697172375,"regular_separated",0.10323504678771,0.0378065033456546,1.03780650334565
