"fpca_gap_sym","fpca_gap_legacy_asymmetric","fpca_gap_wald_se","fpca_gap_wald_ci_raw_lower","fpca_gap_wald_ci_raw_upper","fpca_gap_wald_ci_lower","fpca_gap_wald_ci_upper","fpca_gap_wald_regular","fpca_p_equal_general","fpca_equality_draws","fpca_anderson_Q","fpca_anderson_p_equal","fpca_pair_score_identity_error","sample_lambda_upper","sample_lambda_lower","sample_gap_sym","raw_relative_gap","raw_relative_gap_legacy","lambda_pool","alpha_hat_upper","alpha_hat_lower","alpha_pool","proposed_gap_sym","corrected_relative_gap","corrected_relative_gap_legacy","Delta_pool","r2_pool","T_sample_HC","p_sample_HC","T_proposed","T2_proposed","p_proposed","proposed_gap_ci_raw_lower","proposed_gap_ci_raw_upper","proposed_gap_ci_raw_empty","proposed_gap_upper95","proposed_gap_upper95_boundary_fallback","proposed_gap_ci_boundary_lower","proposed_gap_ci_boundary_upper","proposed_gap_local_inference_valid","inference_valid","pair","upper_rank","fpca_p_equal","proposed_p_equal","sample_HC_p_equal","fpca_reject_equal","proposed_reject_equal","phase_separation_certified","gap_inference_valid","phase_valid","fpca_simple_gap_wald_valid","fpca_equality_rejected","proposed_equality_rejected","prespecified_cluster_member","equality_evidence","cluster","multiplicity","pooled_alpha","pooled_alpha_se","pooled_alpha_ci_lower","pooled_alpha_ci_upper","pooled_Delta","pooled_Delta_se","pooled_Delta_ci_lower","pooled_Delta_ci_upper","pooled_Delta_one_sided_lower","pooled_r2","pooled_r2_se","pooled_r2_ci_lower","pooled_r2_ci_upper","pooled_inference_valid","K0_sensitivity","domain_hours"
0.380214568262639,0.319479237991694,0.123195174840176,0.138756462506779,0.621672674018499,0.138756462506779,0.621672674018499,FALSE,0.0557994420055799,100000,5.52150477611421,0.0632441662988704,2.22044604925031e-16,1.65080212076858,1.12340511715036,0.380214568262639,0.319479237991694,0.319479237991694,1.38710361895947,1.66279435746887,1.11215300259408,1.38761810865221,0.39686616243581,0.331154211825074,0.331154211825074,0.957901784747352,0.958257079469515,2.37806018569198,0.0591555346387891,2.37859333044361,5.65770623163082,0.0590805734039322,0,0.697279058575439,FALSE,0.643474118096457,FALSE,0,0.697279058575439,TRUE,TRUE,"PC1-PC2",1,0.0557994420055799,0.0590805734039322,0.0591555346387891,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"both_insufficient_evidence","PC1-PC2",2,1.38761810865221,0.115761418032004,1.1607298985102,1.61450631879422,0.957901784747352,0.000400393431213069,0.957117028042528,0.958686541452176,0.957243196159814,0.958257079469515,0.00373756145851082,0.950931593620828,0.965582565318201,TRUE,6,6
0.474893166445695,0.383768619093737,0.172965480648825,0.135887053805339,0.813899279086052,0.135887053805339,0.813899279086052,TRUE,0.011879881201188,100000,8.70490030619415,0.0128752276234536,2.22044604925031e-16,1.12340511715036,0.692277486658729,0.474893166445695,0.383768619093737,0.383768619093737,0.907841301904545,1.11215300259408,0.659833296594336,0.886517262362564,0.510522802808254,0.40670636589095,0.40670636589095,0.953877093120698,0.931471731292344,3.04921526054989,0.00957253850093733,3.05335280502742,9.32296335196883,0.0094524465577462,0.128479026669097,0.816516073385175,FALSE,0.763007624614666,FALSE,0.128479026669097,0.816516073385175,TRUE,TRUE,"PC2-PC3",2,0.011879881201188,0.0094524465577462,0.00957253850093733,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"both_reject_equality","PC2-PC3",2,0.886517262362564,0.074113164514438,0.741258129133973,1.03177639559115,0.953877093120698,0.00129089635714116,0.951346982752928,0.956407203488469,0.951753757565636,0.931471731292344,0.00659696531116714,0.918541916875196,0.944401545709491,TRUE,6,6
0.179730186805041,0.164910490200149,0.152725826602577,-0.119606932845119,0.479067306455201,0,0.479067306455201,FALSE,0.650213497865021,100000,1.21627805853347,0.544362970593301,2.22044604925031e-16,0.692277486658729,0.578113666979311,0.179730186805041,0.164910490200149,0.164910490200149,0.63519557681902,0.659833296594336,0.538620065467068,0.599402332868865,0.202282767046978,0.183702810623376,0.183702810623376,0.942277648126751,0.889180342416468,1.20153451637138,0.485856193500187,1.20244152098218,1.44586561138195,0.48532679749169,0,0.485434647126416,FALSE,0.42850101192403,FALSE,0,0.485434647126416,TRUE,TRUE,"PC3-PC4",3,0.650213497865021,0.48532679749169,0.485856193500187,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"both_insufficient_evidence","PC3-PC4",2,0.599402332868865,0.0504177377241967,0.500585382747454,0.698219282990277,0.942277648126751,0.00442886049560996,0.933597241062803,0.950958055190698,0.934992820877285,0.889180342416468,0.0124677112004823,0.864744077493876,0.91361660733906,TRUE,6,6
0.271568799900688,0.239102421121967,0.198202673815244,-0.116901302416729,0.660038902218106,0,0.660038902218106,FALSE,0.336086639133609,100000,2.79142360531341,0.247656690922547,2.22044604925031e-16,0.578113666979311,0.439885289520859,0.271568799900688,0.239102421121967,0.239102421121967,0.508999478250085,0.538620065467068,0.387544999582431,0.464174861325467,0.326237884769629,0.280485402551113,0.280485402551113,0.919334632026943,0.838374190087364,1.90192951237781,0.163872280004252,1.91552064376832,3.66921933670261,0.15967581613026,0,0.627695179985172,FALSE,0.572247480749475,FALSE,0,0.627695179985172,TRUE,TRUE,"PC4-PC5",4,0.336086639133609,0.15967581613026,0.163872280004252,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"both_insufficient_evidence","PC4-PC5",2,0.464174861325467,0.039527484450429,0.386702415403159,0.541647307247775,0.919334632026943,0.0124578312300138,0.894917731490638,0.943751532563249,0.898843323144306,0.838374190087364,0.0228996895357599,0.793491623340126,0.883256756834602,TRUE,6,6
0.225139108539099,0.20235958073373,0.195686681275087,-0.15839973901424,0.608677956092438,0,0.608677956092438,FALSE,0.469665303346967,100000,1.91293168740393,0.384248483315012,1.66533453693773e-16,0.439885289520859,0.350870286762482,0.225139108539099,0.20235958073373,0.20235958073373,0.395377788141671,0.387544999582431,0.262982291134185,0.334622942138457,0.382959209323959,0.32141482558789,0.32141482558789,0.790202882650804,0.668778119078747,1.83254152857057,0.186540999617474,2.08467067146466,4.34585180846492,0.113844032394422,0,0.710414239290132,FALSE,0.650853463718411,FALSE,0,0.710414239290132,TRUE,TRUE,"PC5-PC6",5,0.469665303346967,0.113844032394422,0.186540999617474,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"both_insufficient_evidence","PC5-PC6",2,0.334622942138457,0.03073553513682,0.274382400224724,0.394863484052189,0.790202882650804,0.0829559496304806,0.627612209071744,0.952793556229865,0.653752488023905,0.668778119078747,0.0905550412778396,0.491293499555644,0.846262738601851,TRUE,6,6
0.380214568262639,0.319479237991694,0.123195174840176,0.138756462506779,0.621672674018499,0.138756462506779,0.621672674018499,FALSE,0.0557994420055799,100000,5.52150477611421,0.0632441662988704,2.22044604925031e-16,1.65080212076858,1.12340511715036,0.380214568262639,0.319479237991694,0.319479237991694,1.38710361895947,1.69097797221151,1.13308453537474,1.41211601403738,0.395099921009618,0.329923538925315,0.329923538925315,0.945398763302015,0.962446291006984,2.35220624583652,0.0628856606737109,2.3525024892952,5.53426796214009,0.0628418528348452,0,0.697251503916905,FALSE,0.643069732831752,FALSE,0,0.697251503916905,TRUE,TRUE,"PC1-PC2",1,0.0557994420055799,0.0628418528348452,0.0628856606737109,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"both_insufficient_evidence","PC1-PC2",2,1.41211601403738,0.118581580283415,1.17970038745204,1.64453164062271,0.945398763302015,0.000232743373440939,0.944942594672431,0.9458549319316,0.945015934520062,0.962446291006984,0.00327206252366317,0.956033166305441,0.968859415708527,TRUE,8,6
0.474893166445695,0.383768619093737,0.172965480648825,0.135887053805339,0.813899279086052,0.135887053805339,0.813899279086052,TRUE,0.011879881201188,100000,8.70490030619415,0.0128752276234536,2.22044604925031e-16,1.12340511715036,0.692277486658729,0.474893166445695,0.383768619093737,0.383768619093737,0.907841301904545,1.13308453537474,0.675845461798683,0.904733209421304,0.505535398595325,0.403534828427283,0.403534828427283,0.943221486669411,0.939992266312727,3.00465156606522,0.010954931960959,3.00658888610187,9.03957673003129,0.0108913284107816,0.118462770147538,0.812970565423984,FALSE,0.759139664125923,FALSE,0.118462770147538,0.812970565423984,TRUE,TRUE,"PC2-PC3",2,0.011879881201188,0.0108913284107816,0.010954931960959,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"both_reject_equality","PC2-PC3",2,0.904733209421304,0.0760620558669439,0.75565431933202,1.05381209951059,0.943221486669411,0.000671499450378603,0.941905371931031,0.944537601407792,0.94211696836296,0.939992266312727,0.00541139140524725,0.929386134052193,0.950598398573262,TRUE,8,6
0.179730186805041,0.164910490200149,0.152725826602577,-0.119606932845119,0.479067306455201,0,0.479067306455201,FALSE,0.650213497865021,100000,1.21627805853347,0.544362970593301,2.22044604925031e-16,0.692277486658729,0.578113666979311,0.179730186805041,0.164910490200149,0.164910490200149,0.63519557681902,0.675845461798683,0.554106102086833,0.615048226001714,0.197957973771367,0.180128988937582,0.180128988937582,0.937916516594893,0.908167359348215,1.17368853617034,0.502192186978721,1.17400710608892,1.37829268514729,0.502004426011326,0,0.480827922080348,FALSE,0.42357969336628,FALSE,0,0.480827922080348,TRUE,TRUE,"PC3-PC4",3,0.650213497865021,0.502004426011326,0.502192186978721,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"both_insufficient_evidence","PC3-PC4",2,0.615048226001714,0.0518539027402406,0.513416444172999,0.716680007830428,0.937916516594893,0.00187020680414774,0.934250978615121,0.941582054574664,0.934840300149941,0.908167359348215,0.00884218066087351,0.890837003708106,0.925497714988323,TRUE,8,6
0.271568799900688,0.239102421121967,0.198202673815244,-0.116901302416729,0.660038902218106,0,0.660038902218106,FALSE,0.336086639133609,100000,2.79142360531341,0.247656690922547,2.22044604925031e-16,0.578113666979311,0.439885289520859,0.271568799900688,0.239102421121967,0.239102421121967,0.508999478250085,0.554106102086833,0.405301598257447,0.480010595122324,0.310200770279389,0.268548754956804,0.268548754956804,0.929797387658786,0.87684293690767,1.82880693422765,0.187820717523749,1.83169291935775,3.3550989508253,0.186831250101973,0,0.608780147882774,FALSE,0.553511338858261,FALSE,0,0.608780147882774,TRUE,TRUE,"PC4-PC5",4,0.336086639133609,0.186831250101973,0.187820717523749,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"both_insufficient_evidence","PC4-PC5",2,0.480010595122324,0.0406453654910187,0.400347142621461,0.559674047623188,0.929797387658786,0.00397300611252738,0.922010438767875,0.937584336549697,0.923262374144695,0.87684293690767,0.0128908406640419,0.851577353475704,0.902108520339637,TRUE,8,6
0.225139108539099,0.20235958073373,0.195686681275087,-0.15839973901424,0.608677956092438,0,0.608677956092438,FALSE,0.469665303346967,100000,1.91293168740393,0.384248483315012,1.66533453693773e-16,0.439885289520859,0.350870286762482,0.225139108539099,0.20235958073373,0.20235958073373,0.395377788141671,0.405301598257447,0.306677283375516,0.35654636128467,0.27704280962865,0.243335617984127,0.243335617984127,0.90521449088896,0.816310229326707,1.60689347056329,0.274980989479796,1.61412909428975,2.60541273303263,0.271795219283562,0,0.576041538293053,FALSE,0.519578726126684,FALSE,0,0.576041538293053,TRUE,TRUE,"PC5-PC6",5,0.469665303346967,0.271795219283562,0.274980989479796,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"both_insufficient_evidence","PC5-PC6",2,0.35654636128467,0.0305981120229549,0.296575163724756,0.416517558844583,0.90521449088896,0.0118599496855411,0.881969416646842,0.928459565131078,0.885706609633236,0.816310229326707,0.0235633733283773,0.770126866248816,0.862493592404598,TRUE,8,6
