"maximum_missing_minutes","domain_hours","n_subjects","grid_size","sample_effective_rank","effective_rank_over_n","pc1_variance_percent","cumulative_pc1_5_percent"
30,6,132,4320,7.52195933265572,0.0569845403989069,13.2944084882062,36.6288685273344
30,12,132,8640,9.87944989273396,0.0748443173691967,10.1220210726052,27.0432427030113
30,18,132,12960,14.1417418352113,0.10713440784251,7.07126471160798,22.4420007070955
30,24,132,17280,16.155470116541,0.122389925125311,6.18985391812358,20.646673780189
