"spike_index","hat_Delta","phase_lower_bound","hat_r2"
1,0.941421105815788,0.939056867152156,0.907125849357137
2,0.937158338728631,0.932638363140689,0.879157239338689
3,0.920296912832838,0.905831194006025,0.813216034714617
4,0.915242436192802,0.897416980483968,0.79903973268866
5,0.779416133132549,0.62865045562784,0.592135839702558
6,0.709872222256495,0.475610005088213,0.520384936929918
